,hashtags,goldtruths,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10
12,Continental,['Continental'],Continental,Continent al,Cont inental,Continenta l,C ontinental,Con tinental,Conti nental,C ontinent al,Continent a l,C ont inental
13,kentuckyderby,['kentucky derby'],kentucky derby,kentuckyder by,k entuckyderby,kentuck y derby,ken tucky derby,kentuckyderby,kentucky der by,k entucky derby,kentuckyderb y,kentuck yderby
14,iPhoneForAlonis,['iPhone For Alonis'],iPhone For Alonis,iPhone For A lonis,iPhoneForAlonis,iPhone ForAlonis,iPhone For Alon is,iPhoneFor Alonis,iPhone ForA lonis,iPhoneForA lonis,i Phone For Alonis,iPhoneForAlon is
15,gr8conf,"['GR8Conf', 'gr8conf', 'gr8 conf']",gr8conf,gr8 conf,g r8 conf,gr8con f,gr8 con f,gr 8conf,gr 8 conf,g r8conf,gr8co nf,g r 8conf
16,TWELVE,['TWELVE'],TWELVE,T WELVE,TWE LVE,T W E LVE,TWELV E,TW ELVE,T W ELVE,TW E LVE,TW E L VE,TW EL VE
17,follow,['follow'],follow,follo w,f oll ow,foll ow,fo ll ow,f o ll ow,f oll o w,f ollow,fol low,fo llow
18,nobitchassnessfriday,"['no bitchassness friday', 'no bitchass ness friday', 'no bitch assness friday', 'no bitchassness friday']",no bitch ass ness friday,no bitch assness friday,no bitchassness friday,no bitch assnessfriday,nobitchassness friday,no bitchassnessfriday,no bitchass ness friday,no bitch ass nessfriday,nobitchassnessfriday,nobitch ass ness friday
19,openspacecode,"['openspacecode', 'open space code', 'OpenSpace code']",open space code,open spacecode,opens pace code,op en spacecode,ope nspace code,openspace code,openspacecode,op en space code,open space cod e,opens pacecode
20,thegreenteen,['the green teen'],the green teen,thegreenteen,the green tee n,the greentee n,thegreente en,thegreen teen,the greenteen,th e green teen,the greente en,th egreen teen
21,medifast,['medifast'],medifast,medifa st,me d i fast,me difast,medif as t,medi fast,med i fast,me di fast,medif ast,medifas t
22,Geek,['Geek'],Geek,G eek,Gee k,Ge ek,,,,,,
23,Liverpool,['Liverpool'],Liverpool,Live rpool,Li verpool,Liver poo l,Liverpoo l,Liver pool,Li ver pool,Live r pool,L iverpool,Liver po ol
24,phpvikinger,['php vikinger'],phpvikinger,phpviking er,php viking er,phpv ikinger,php v ikinger,php vikinger,ph pvikinger,php viki nger,p hp viking er,phpviki nger
25,xenocide,['xenocide'],xenocide,xeno cide,xenoc ide,xe no cide,xenocid e,x enocide,xeno ci de,xe nocide,xen ocide,xenoc id e
26,campcourage,['camp courage'],camp courage,c amp courage,cam p courage,ca mp courage,campcourage,cam pcourage,c am p courage,campcou rage,c a mp courage,c a m p courage
27,stillnotreadyfor100degreeweatherbutluvPhx,['still not ready for 100 degree weather but luv Phx'],still not ready for 100 degree weather but luvPhx,still not ready for 100 degree weather but luvPh x,still not ready for 100 degree weather but luvP hx,stillnot ready for 100 degree weather but luvPhx,stillnotready for 100 degree weather but luvPhx,still not ready for 100 degree weather but luv Phx,still not ready for 100 degree weather but luv Ph x,stillnot ready for 100 degree weather but luv Phx,stillnotready for 100 degree weather but luv Phx,still not ready for 100 degree weather but luv P hx
28,McFly,['McFly'],McFly,McFl y,McF ly,Mc Fl y,M cFly,M c Fl y,Mc Fly,M c Fly,McF l y,M c F ly
29,SharePoint,['SharePoint'],SharePoint,Share Po int,Sh are Point,Share Po in t,Share Point,Share Poin t,SharePo int,S hare Point,Sh arePoint,Share Po i nt
30,LemonTree,['Lemon Tree'],Lemon Tree,Lem on Tree,Lem onTree,Le mon Tree,Lemon T ree,Lemo n Tree,LemonTre e,LemonTree,Lemon Tre e,L emon Tree
31,ccnet,"['ccnet', 'CCNet']",ccnet,c cnet,c c net,cc n et,c cne t,cc net,ccne t,cc ne t,c c ne t,ccn et
32,hamthrax,"['Hamthrax', 'hamthrax']",hamthrax,h am thrax,hamt hrax,ham thrax,hamth rax,hamthra x,h amthrax,ha mthrax,ha m thrax,ham thra x
33,PeopleBrowsr,"['people browsr', 'PeopleBrowsr']",People Brows r,PeopleBrowsr,PeopleBrows r,PeopleBrow sr,People B rows r,People B rowsr,People Browsr,People Brow sr,People Brow s r,People Bro wsr
34,maddie,['maddie'],maddie,m addie,ma d die,mad d ie,madd i e,mad die,maddi e,madd ie,ma ddie,m ad die
35,sota09,['sota 09'],sota09,sota 0 9,so ta 09,sota 09,sota0 9,sot a09,s ota09,s ota 09,so ta09,sot a 09
36,sagepay,['sage pay'],sagepay,sag epay,s age pay,s agepay,sagepa y,sage pa y,sage pay,sage p ay,sag e pay,sa gepay
37,unfollow,['unfollow'],unfollow,u n follow,unfo llow,un foll ow,unf ollow,un follow,u nfollow,u n foll ow,unfo ll ow,unfollo w
38,london2009,['london 2009'],london 2009,london 20 09,london 2 0 0 9,lond on 2009,london2 0 0 9,london2009,london 200 9,london 20 0 9,london 2 0 09,london 2 009
39,charitytuesday,['charity tuesday'],charity tuesday,charity tues day,charitytues day,ch arity tuesday,charitytuesday,charity tu es day,char ity tuesday,charity t ues day,charit y tuesday,char itytuesday
40,ItsGrimUpNorth,"['Its Grim Up North', 'It s Grim Up North']",Its Grim Up North,ItsGrimUpNorth,Its GrimUpNorth,It s Grim Up North,Its Grim UpNorth,ItsGrim Up North,ItsGrim UpNorth,Its GrimUp North,ItsGrimUp North,I ts Grim Up North
41,elementsc,['element sc'],elements c,element sc,elemen tsc,elemen t sc,elementsc,element s c,ele ments c,ele ment sc,ele mentsc,ele men tsc
42,twares,['twares'],twares,twa res,tware s,t war es,tw are s,t wares,twar es,tw ares,tw a res,t ware s
43,steviewonder,"['Stevie wonder', 'stevie wonder']",stevie wonder,st evie wonder,stevie won der,stevi e wonder,st e vie wonder,ste vie wonder,steviewonder,stevie w onder,steview on der,stev ie wonder
44,fartingloud,['farting loud'],farting loud,f arting loud,fart ingloud,fart in gloud,fartingloud,fart ing loud,f artingloud,farting l oud,fartin gloud,f arting l oud
45,beerfriday,['beer friday'],beer friday,beerfriday,bee r friday,beer f riday,beerf riday,be er friday,beer fri day,bee rfriday,beer fr iday,b eer friday
46,jonaslive,"['Jonas live', 'jonas live']",jonaslive,jonas live,jona slive,jo nas live,j on as live,jon as live,jon aslive,jona s live,j on a slive,jonas liv e
47,vegas,"['vegas', 'Vegas']",vegas,vega s,v e gas,v eg as,ve gas,veg as,v egas,veg a s,ve ga s,ve g as
48,appstore,"['appstore', 'app store']",appstore,ap pstore,app stor e,apps to re,app store,a ppstore,appsto re,a pp store,apps tore,appstor e
49,PUGHUG,"['pug hug', 'PUG HUG']",PUG HUG,PU GHUG,PUGH UG,PUGHU G,P U GH UG,P UG HUG,PUGHUG,P U GHUG,P UGHUG,P U GHU G
50,nerdprom,['nerd prom'],nerd prom,nerd pro m,nerdpr om,nerd p rom,nerdp rom,nerdprom,nerd pr om,nerdpro m,nerd pr o m,nerdpr o m
51,otalia,"['otalia', 'Otalia']",otalia,ot alia,o talia,ota lia,ot al ia,otal ia,o t alia,o t al ia,ot ali a,ot al i a
52,girlcrush,['girl crush'],girlcrush,g irlcrush,girlcru sh,girl cru sh,gir l crush,girl crush,girlc rush,girl c rush,g irl crush,girl crus h
53,Hunchback,['Hunchback'],Hunchback,Hunch b ack,Hunc hback,Hun c h back,Hunch back,Hun ch back,H unchback,H unch back,Hun chback,Hunchb ack
54,trafficza,['traffic za'],trafficza,traffic z a,traff icza,t rafficza,traffic za,traffi cza,tr afficza,tr aff icza,tra fficza,traff ic za
55,writechat,"['writechat', 'WriteChat', 'write chat']",write chat,writecha t,writec hat,write cha t,write ch at,writechat,writ e chat,writ echat,write c hat,writech at
56,codecompletion,['code completion'],code completion,co de completion,c o de completion,c ode completion,codecompletion,code complet ion,codec ompletion,code comple tion,code completio n,cod e completion
57,magic,['magic'],magic,m agic,magi c,m ag ic,m ag i c,mag ic,mag i c,ma gic,m agi c,ma gi c
58,cartoonavie,['cartoon avie'],cartoon avie,cartoon avi e,car toonavie,cartoon av ie,cartoonav ie,car toona vie,cartoonavie,cartoonavi e,carto on avie,cart oona vie
59,HsvTweetup,['Hsv Tweetup'],Hsv Tweetup,HsvTweetup,HsvT weetup,H sv Tweet up,H sv Tweetup,HsvT weet up,Hsv Tweet up,HsvTweet up,Hs v Tweetup,Hs v Tweet up
60,stc09,"['stc09', 'stc 09']",stc09,stc 09,s tc09,s t c 09,stc0 9,st c09,st c 09,stc 0 9,s t c09,s tc 09
61,wishiwasinLA,"['wish i was in LA', 'wish I was in LA']",wish i was in LA,wish i was inLA,wish iwasin LA,wish iwas inLA,wish iwas in LA,wish i was in L A,wish i wasin LA,wishi was in LA,wishiwas in LA,wish i wasinLA
62,Prabhakaran,['Prabhakaran'],Prabhakaran,Prabha karan,Prabhakar an,Pr abhakaran,Prabhakara n,Prabhakar a n,P rabhakaran,Pra bhakaran,Prabhaka ran,Prab hakaran
63,lions2009,"['lions 2009', 'Lions 2009']",lions 2009,lion s 2009,lions 200 9,lion s2009,lions 2 0 09,lions2009,lions 2 0 0 9,lions 20 0 9,lions 20 09,lions200 9
64,dongle,['dongle'],dongle,dongl e,don gle,do ngle,d o ngle,dong le,dong l e,d on gle,d ongle,do n gle
65,heartballoon,['heart balloon'],heart balloon,he art balloon,heart ball oon,heartballo on,heartballoon,he artballoon,hear t balloon,heart ballo on,heart ball o on,hear tballoon
66,spymaster,['spymaster'],spymaster,sp y master,s pymaster,s p y master,spymast er,spy master,sp ymaster,s py master,spymaste r,spy mas ter
67,UFC97,"['UFC97', 'UFC 97']",UFC 97,UFC9 7,U F C97,U F C 9 7,UFC97,U F C 97,UFC 9 7,UF C97,UF C 97,U FC 97
68,twittermusical,['twitter musical'],twitter musical,twitter music al,t witter musical,twitter musi cal,twitter musica l,twittermusical,twittermusic al,twitter music a l,twitter mus ical,t wittermusical
69,COBOL,['COBOL'],COBOL,COB OL,C OBOL,CO B OL,C O B OL,CO BOL,COBO L,CO B O L,COB O L,CO BO L
70,familyhistory,['family history'],family history,family hi story,familyhi story,family histor y,famil yhistory,familyhistory,famil y history,fam ily history,f amily history,family his tory
71,webdu,"['webDU', 'webdu', 'web du']",webdu,webd u,we bdu,we bd u,web d u,w eb d u,web du,w ebdu,we b du,we b d u
72,makerfaire,['maker faire'],makerfaire,maker fair e,ma kerfaire,maker fa ire,maker f aire,makerfa ire,maker faire,makerfair e,make r faire,makerf aire
73,sleep,['sleep'],sleep,sl eep,s lee p,sle ep,sl e ep,s le ep,s leep,slee p,s l eep,sl ee p
74,Bruins,['Bruins'],Bruins,Bruin s,B ruin s,Bru in s,Br u in s,B ruins,Bru ins,Br uins,Br u ins,B r u ins
75,whatcotyisnotdoing,"['what COTY is not doing', 'what coty is not doing']",whatcoty is not doing,what coty is not doing,what cot y is not doing,whatcotyis not doing,whatcot yis not doing,what cot yis not doing,whatcotyisnotdoing,what c oty is not doing,what co ty is not doing,what coty isnot doing
76,qanda,"['Q and A', 'q and a']",qanda,q anda,qa n da,qand a,q a nd a,q an d a,q and a,qa nda,qan da,qa nd a
77,starwars,"['Star Wars', 'star wars']",star wars,starwar s,s tar wars,st ar wars,star w ars,starwars,star war s,starwa rs,st arwars,starw ars
78,auremix,['au remix'],au remix,au re mix,auremi x,a ure mix,a u remix,a uremix,auremix,aure mix,aur emix,aurem ix
79,phillycodecamp,['philly code camp'],philly code camp,phillycode camp,p hilly code camp,philly codec amp,phillycodecamp,phillyco de camp,philly codecamp,philly co de camp,phillycodec amp,phillyco decamp
80,3wordsaftersex,['3 words after sex'],3 words after sex,3 words aftersex,3 wordsaftersex,3 word s after sex,3words after sex,3 wordsafter sex,3words aftersex,3wordsaftersex,3wordsafter sex,3 words afterse x
81,spoonies,['spoonies'],spoonies,s poonies,spoon ies,spoo nies,sp o onies,spoonie s,sp oonies,spooni es,spoon i es,s poo nies
82,gfree,"['gfree', 'g free', 'Gfree']",gfree,g fre e,gfre e,gf re e,gfr ee,g free,gf ree,g f ree,g f re e,g f r ee
83,bacon,['bacon'],bacon,bac on,b a con,ba c o n,baco n,b acon,ba con,b ac on,ba co n,ba c on
84,lostthegame,['lost the game'],lost the game,lost t he game,l ost the game,lostt he game,lostthegame,lost thegame,lostthe game,l o st the game,lost th e game,l ostthegame
85,DRWHO,['DR WHO'],DR WHO,DRWHO,D R WHO,D R W H O,DR W HO,D RWHO,DRWH O,DRW HO,D R W HO,DR W H O
86,electrohouse,['electro house'],electrohouse,electr o house,elec trohouse,electr ohouse,electro house,elect ro house,elect rohouse,el ectrohouse,electroho use,electro ho use
87,eurovision,['eurovision'],eurovision,eur o vision,eurovis ion,euro vis ion,euro vision,eu rovision,eur ovision,e urovision,eu ro vision,eu r o vision
88,Letmego,['Let me go'],Let me go,Letmego,Let m e go,Letm e go,L etme go,Letme go,Let mego,Letmeg o,L et me go,Let me g o
89,3aaah,['3 aaah'],3aaah,3aaa h,3aa ah,3 aaa h,3 aa ah,3 aaah,3a aah,3aa a h,3 a a ah,3 a aah
90,bck5,['bck5'],bck5,bck 5,b c k 5,bc k5,,,,,,
91,MusicMonday,"['music monday', 'Music Monday']",Music Monday,Music Mon day,Musi c Monday,Musi cMonday,Music Mond ay,MusicMonday,MusicMon day,Music M on day,M usic Monday,Mus ic Monday
92,vitaminwater,['vitamin water'],vitamin water,vitam in water,vitamin wat er,vitamin w ater,vitamin w a ter,vitaminwater,vita min water,vita minwater,vi tam in water,vi tamin water
93,symp09,"['SYMP 09', 'symp 09', 'symp09']",symp09,s ymp09,s ymp 09,sy mp09,symp 09,symp 0 9,sym p 09,symp0 9,sym p09,s ymp 0 9
94,dissertation,['dissertation'],dissertation,disserta tion,dis sertation,di ssertation,dis serta tion,dissertatio n,d issertation,dissertat ion,dissertati on,dis ser tation
95,Nambu,['Nambu'],Nambu,N ambu,N a m b u,N am bu,Na m b u,Nam bu,Na mbu,Namb u,N a m bu,N amb u
96,asylum,['asylum'],asylum,as ylum,asy l u m,asy lum,a sylum,asylu m,as y lum,asyl um,asyl u m,asy lu m
97,thegreendeath,['the green death'],the green death,thegreendeath,the gree n death,thegreen death,th e green death,th egreen death,t he green death,the greendeath,t hegreen death,t h e green death
98,bittorrent,"['Bit Torrent', 'bittorrent']",bittorrent,bittor rent,bi t torrent,b it torrent,bi ttorrent,bit torrent,bitt or rent,bitt orrent,bittorren t,bit to rrent
99,omgimpatient,"['OMG impatient', 'omg impatient']",omg impatient,omg im patient,omg i m patient,om gimpatient,omgim patient,omgimpatient,om g impatient,o mg impatient,omg i mpatient,o m g impatient
100,BEAtwittyparty,['BEA twitty party'],BE A twitty party,BEAt witty party,BE At wittyparty,BE At witty party,BEAtwittyparty,BEAt wittyparty,BEAtwitty party,BEA twitty party,B E At wittyparty,B EA twitty party
101,letwellshavespotifybackonhercomputer,['let wells have spotify back on her computer'],let wellshave spotify back on her computer,let well shave spotify back on her computer,let well shavespotify back on her computer,letwell shave spotify back on her computer,let wellshave spotifyback on her computer,let wellshavespotify back on her computer,letwellshave spotify back on her computer,let wells have spotify back on her computer,letwells have spotify back on her computer,letwellshavespotify back on her computer
102,icehockey,['ice hockey'],ice hockey,ic e hockey,iceh ockey,i c e hockey,ice hoc key,icehockey,ic ehockey,i ce hockey,ice h ockey,icehoc key
103,overload,['overload'],overload,o verload,o ver load,overlo ad,over lo ad,ov er load,over load,overloa d,ove r load,o verlo ad
104,shaundiviney,"['Shaun Diviney', 'shaun diviney']",shaun diviney,shaun di viney,shaun di vine y,shaund iviney,shaun d iviney,shaundiviney,shaun divine y,shaundivine y,shaundi viney,shaundi vine y
105,twins,['twins'],twins,twin s,twi ns,tw i n s,t w ins,t wins,tw ins,tw in s,tw i ns,t win s
106,heavyworkload,['heavy workload'],heavy workload,heavyworkload,h eavy workload,heavy work lo ad,he avy work load,heavy work load,heavywork load,hea vy workload,he avy workload,heav y workload
107,mustory,['mu story'],mu story,mus tory,must or y,mustor y,mus to ry,mustory,m u story,m ustory,must ory,mus t or y
108,kitchenfire,['kitchen fire'],kitchen fire,kitchenfire,kitchenfir e,kitchenfi re,kitch en fire,kitchen f ire,kitchen fi re,kitch enfire,kitchenf ire,k itchenfire
109,beaconHotel,['beacon Hotel'],beacon Hotel,beac on Hotel,b eacon Hotel,be a conHotel,beacon Ho tel,beaconHotel,be a con Hotel,be acon Hotel,be a c on Hotel,be ac on Hotel
110,camerafail,['camera fail'],camera fail,camer afail,came rafail,camera fa il,camerafail,camer a fail,camera f ail,camera fai l,cam era fail,camerafa il
111,JavaONE,['javaone'],Java ONE,Java O N E,J ava ONE,Jav aONE,JavaONE,JavaON E,Java ON E,Java O NE,J avaONE,JavaO NE
112,democamp,"['demo camp', 'Demo camp', 'democamp']",democamp,de mocamp,dem o camp,demo c amp,democam p,demo camp,democ amp,dem ocamp,democa mp,demo cam p
113,tags,['tags'],tags,ta gs,tag s,t ags,,,,,,
114,Emetrics,['Emetrics'],Emetrics,Emetric s,Em etrics,Emet rics,Emetri cs,E metrics,E metric s,E me trics,Eme trics,Em e trics
115,laker,['laker'],laker,la ker,l aker,l ak er,l a k e r,lake r,lak er,l a k er,l a ker,la k er
116,Moscato,['Moscato'],Moscato,Moscat o,Mos cato,M o scato,Mosc a to,Mosca to,Mo scato,M oscato,Mosc at o,Mosc ato
117,french,['french'],french,fren ch,f r ench,fre nch,f r en ch,fr en ch,fr ench,f rench,f r e n ch,f r e nch
118,netprophet,"['netprophet', 'net prophet', 'NetProphet']",netprophet,n et prophet,netprop het,n etprophet,netprophe t,net prophet,net prop het,ne t prophet,ne tprophet,net prophe t
119,FAIl,"['fail', 'FAIl']",FAIl,FAI l,FA Il,F A Il,,,,,,
120,kimi,['kimi'],kimi,kim i,ki mi,k imi,,,,,,
121,forex,['forex'],forex,fore x,f or ex,f ore x,fo rex,for ex,for e x,f orex,f or e x,f o rex
122,baseball,['baseball'],baseball,base ball,base ba ll,basebal l,ba seball,ba se ball,baseb all,base b all,baseba ll,bas e ball
123,SArmy,['s army'],S Army,S Arm y,SAr my,S Ar my,S A r m y,SA rmy,SArmy,S A r my,SArm y,S A rmy
124,ubuntu,"['Ubuntu', 'ubuntu']",ubuntu,ubu ntu,u bunt u,ubu n tu,u bun tu,u buntu,ubun tu,ubunt u,ub untu,ubun t u
125,volkswagen,['volkswagen'],volkswagen,volks wagen,v olkswagen,volkswage n,volk swa gen,volkswag en,volk swagen,volk swag en,vol kswagen,volks wage n
126,earthquake,"['earthquake', 'Earthquake']",earthquake,earth quake,earthquak e,earthqua ke,ea rthquake,ea rth quake,earth quak e,earth qua ke,e arthquake,e arth quake
127,summer09,"['summer 09', 'summer09', 'Summer 09']",summer09,summer 0 9,summe r09,sum mer 09,summe r 09,summer 09,summer0 9,sum mer09,s ummer09,su mmer09
128,progrock,['prog rock'],prog rock,pro g rock,pro grock,prog r ock,p rogrock,progr ock,progrock,pr og rock,pr ogr ock,p rog rock
129,muftyfail,['mufty fail'],mufty fail,m ufty fail,muf tyfail,muf ty fail,muft y fail,muftyfail,mu ftyfail,m uftyfail,mu fty fail,muft yfail
130,twist,['twist'],twist,t wist,twi st,tw ist,tw i st,t w i st,twis t,tw is t,twi s t,tw i s t
131,Chestermere,['Chestermere'],Chestermere,Chester me re,C hestermere,Ch ester mere,Ch estermere,Chestermer e,Chester mere,Ches termere,Chester mer e,C hester mere
132,rockbox,"['rockbox', 'Rockbox', 'rock box']",rockbox,rock b ox,rockbo x,rockb ox,rock box,r ockbox,rock bo x,rock b o x,r ock box,ro ckbox
133,futuresummit,"['future summit', 'Future Summit']",future summit,futuresum mit,future sum mit,futures umm it,futuresummi t,futuresummit,futures ummit,f uture summit,future summ it,fu ture summit
134,hotlesbiantwitterlovin,['hot lesbian twitter lovin'],hot lesbian twitterlovin,hotlesbian twitterlovin,hotlesbian twitter lovin,hot lesbian twitter lov in,h o t lesbian twitterlovin,hot lesbian twitter lovin,h ot lesbian twitterlovin,h ot lesbian twitter lovin,ho t lesbian twitterlovin,hot lesbian twitter lo vin
135,zachissexy,['zach is sexy'],zach is sexy,zac hissexy,zachisse xy,zachissex y,zac his sexy,zachissexy,zachis sexy,zach issexy,zach i s sexy,zachisse x y
136,copyediting,"['copyediting', 'copy editing']",copy editing,cop y editing,c op y editing,copyediti ng,copy edit i ng,copy edit ing,copyediting,copyed iting,copy edi ting,copy edit in g
137,derby,['derby'],derby,derb y,d e r by,de r by,der by,d erby,d er by,der b y,de rby,d er b y
138,climb,['climb'],climb,c limb,cl imb,c l imb,clim b,cli mb,cl im b,cli m b,c lim b,c l im b
139,Ericsson,['Ericsson'],Ericsson,Eric s son,Ericss on,Eric ss on,Eri csson,Er icsson,Eric sson,Eric s s on,Eric s s o n,Erics son
140,saveearl,"['save earl', 'save Earl']",save earl,save ear l,save ea rl,save e arl,savee arl,saveearl,saveear l,sav e earl,s ave earl,sa ve earl
141,firefox,['firefox'],firefox,fire fo x,fi refox,fire fox,firefo x,f irefox,f ire fox,fi re fox,firef o x,firef ox
142,globalwarming,['global warming'],global warming,glob al warming,global war m ing,g lobal warming,globalwarming,global warm ing,glob alwarming,global wa rming,global warmi ng,g lobalwarming
143,hbmf,['hbmf'],hbmf,hbm f,hb mf,h bmf,,,,,,
144,uprise,['uprise'],uprise,u prise,upri se,u pri se,upr is e,up rise,upris e,u p rise,u pris e,u pri s e
145,drobo,"['Drobo', 'drobo']",drobo,dro bo,dr o bo,dro b o,d robo,dr obo,dr o b o,d r o b o,d r obo,d ro bo
146,followFriday,['follow friday'],follow Friday,follow Fri day,f oll ow Friday,follow Frida y,followFriday,followFri day,follow F riday,f ollow Friday,f ollowFriday,fol low Friday
147,yayman,['yay man'],yayman,ya y man,ya yman,yayma n,yay ma n,yay man,y ayman,y ay man,y a y man,ya y ma n
148,Dayquil,"['Dayquil', 'DayQuil']",Dayquil,Day quil,Day qui l,D a y quil,D a yquil,D ayquil,Dayqui l,Da yquil,D ay quil,Dayqu il
149,tweetdare,"['tweetdare', 'tweet dare']",tweetdare,tweet dar e,tweetd are,twee t dare,tweet dare,tweet d are,tweet da re,twee tdare,tweet d a re,tweetda re
150,bushfires,"['bushfires', 'Bushfires']",bushfires,bushfire s,bush fire s,bush fi res,bus h fires,b ush fires,bush fires,b ushfires,bushfi res,bus hfires
151,boobadlosers,['boo bad losers'],boo bad losers,boobadlosers,boo bad loser s,bo o bad losers,boob ad losers,boobad losers,booba dlosers,boo badlosers,booba d losers,bo obad losers
152,stillsmokefree,"['still smoke free', 'still smokefree']",still smoke free,stillsmokefree,stillsmoke free,st ill smokefree,s till smoke free,stills moke free,still smokefree,st ill smoke free,s till smokefree,st illsmoke free
153,ihaterotoscoping4eva,"['I hate rotoscoping 4eva', 'i hate rotoscoping 4eva']",i hate rotoscoping4eva,i hate rotoscoping 4 eva,ihaterotoscoping4eva,i hate rotoscoping4 eva,ihate rotoscoping 4eva,i hate rotoscoping 4e va,i hate rotoscoping 4eva,ihate rotoscoping4eva,ihate rotoscoping 4 eva,ihatero to scoping4eva
154,frehleyfriday,['frehley friday'],frehley friday,f rehley friday,frehley f riday,fre hleyfriday,frehleyf riday,frehleyfriday,fre hley friday,freh ley friday,f rehleyfriday,f re hley friday
155,fuckyoufridays,['fuck you fridays'],fuck you fridays,fuck youfridays,fuck youfriday s,fuckyou fridays,fucky ou fridays,fuck you friday s,fuck you fri days,fuck y ou fridays,fuck you fr idays,fuck yo u fridays
156,SBdrinks,['SB drinks'],SB drinks,SBdrinks,SB drink s,S B drink s,SB dr inks,S B drinks,S Bdrinks,SBd rinks,SBdr inks,SBdrink s
157,unfollowfriday,['unfollow friday'],unfollow friday,unfollowfriday,un follow friday,unfollow f riday,u n followfriday,un followfriday,u n follow friday,u nfollow friday,unfollow fri day,u nfollowfriday
158,brandwkshop,['brand wkshop'],brandwkshop,brand wkshop,br and wkshop,brand w k shop,br andwk shop,brand wk shop,brandwk shop,br and wk shop,br andwkshop,br and w k shop
159,digitalplanet,"['Digital Planet', 'digital planet']",digital planet,digital plane t,digital plan et,digit al planet,digitalpla net,digitalplanet,digitalplane t,digit alplanet,digi tal planet,d igitalplanet
160,tek09,"['tek09', 'tek 09']",tek09,tek0 9,t e k 09,t e k09,tek 09,tek 0 9,te k09,t ek09,te k 09,t ek 09
161,teched09,"['TechEd 09', 'teched09', 'teched 09']",teched09,tech ed 09,teched 09,teched 0 9,te ched09,tech ed09,tech ed 0 9,teche d09,teched0 9,tech e d 09
162,Synology,['Synology'],Synology,Syn ology,Synolog y,Syn olog y,Sy nology,S ynology,Sy n ology,S y nology,Syno logy,S ynolog y
163,Chrome,['Chrome'],Chrome,Chro me,C hrome,Ch rom e,Chrom e,Ch rome,Ch ro me,Ch r o me,Chr ome,Ch r ome
164,thedailyshow,"['The Daily Show', 'the daily show']",thedailyshow,the daily show,t he daily show,the daily sh ow,thedailys how,thedaily show,the dailyshow,th e daily show,th edailyshow,the dailys how
165,redwings,"['red wings', 'Red Wings']",redwings,redwing s,r edwings,re dwings,re d wings,red wings,red wing s,redwin gs,red win gs,r ed wings
166,music,['music'],music,mu sic,mus ic,mu si c,m us ic,musi c,m usic,mus i c,m u sic,m u s ic
167,iphone,"['iphone', 'iPhone']",iphone,iph one,iphon e,i ph on e,iph on e,i phone,ip hone,i ph one,i phon e,ipho ne
168,waketraining,['wake training'],wake training,wa ke training,waket raining,wak e training,wak etraining,waketraining,wake t raining,wak et raining,w a ke training,w ake training
169,manics,['manics'],manics,man ics,ma nics,m anics,man i c s,manic s,mani cs,man i cs,ma n ics,mani c s
170,postdigital,['post digital'],postdigital,p ost digital,po stdigital,p o st digital,post digital,p ostdigital,po st digital,post digit al,pos t digital,pos tdigital
171,trueblood,['true blood'],trueblood,t rue blood,t rueblood,true bloo d,tru eblood,truebloo d,true blood,tru e blood,tr ue blood,trueblo od
