,Unnamed: 0,Hashtag,1,2,3,4,5,6,7,8,9,10,Source,id,topk,mutlitoken,charner,answer,annotator,annotation_id,created_at,updated_at,lead_time,Final Segmentation,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10
18,19,shivsena,shivsena,shiv sena,shiv se na,shiv sen a,shivsen a,shivse na,s hivsena,shivs ena,shivs e na,shi vsena,roman,228509,$2,"{""choices"": [""Hashtag has non english token "", ""Hashtag has named entities"", ""Hashtag has a mix of english and hindi tokens""]}","[{""start"": 0, ""end"": 4, ""text"": ""shiv"", ""labels"": [""Named Entity""]}]","{""text"": [""shivsena"", ""shivsena""]}",4,1074,2021-12-15T12:59:48.646514Z,2021-12-15T13:00:51.476960Z,718.664,shiv sena,shivsena,shiv sena,shiv se na,shivse na,shi vs ena,sh iv sena,sh ivsena,shivs ena,shivsen a,shiv sen a
19,20,omotenashibeats,omotenashibeats,omotenashi beats,omotenashibeat s,o motenashibeats,om otenashibeats,omotenashib eats,omotenashibea ts,omotenashibe ats,omo tenashibeats,omotenashibea t s,roman,228496,$2,Hashtag has named entities,"[{""start"": 0, ""end"": 10, ""text"": ""omotenashi"", ""labels"": [""Named Entity""]}]","{""text"": [""omotenashibeats"", ""omotenashibeats""]}",4,1064,2021-12-15T12:50:09.406194Z,2021-12-15T12:52:40.073281Z,227.29,omotenashi beats,omotenashibeats,omotenashi beats,omot enashi beats,omotena shibeats,o mote nashi beats,omo tenashi beats,o motenashi beats,o mote na shibeats,o mo tenashi beats,o mote nash i beats
20,21,wabi7project,wabi7project,wabi7 project,wabi7projec t,w abi7project,wa bi7project,wabi7proje ct,wabi7proj ect,wabi 7 project,wabi7proje c t,wab i7project,roman,228488,$2,Hashtag has named entities,"[{""start"": 0, ""end"": 5, ""text"": ""wabi7"", ""labels"": [""Named Entity""]}]","{""text"": [""wabi7project"", ""wabi7project""]}",4,1059,2021-12-14T13:32:29.839740Z,2021-12-14T13:34:23.313100Z,422.094,wabi7 project,wabi 7 project,wabi7project,wa bi7 project,w abi 7 project,wa bi7project,wabi7 project,wabi 7project,wa bi 7 project,w a bi7 project,w abi7 project
21,22,bjp4bihar,bjp4bihar,bjp 4 bihar,bjp4biha r,bjp4bi har,bjp4 bihar,b jp4bihar,bjp4bih ar,bjp 4bihar,bj p4bihar,b j p 4 bihar,roman,230405,$2,None,"[{""start"": 4, ""end"": 9, ""text"": ""bihar"", ""labels"": [""Named Entity""]}]",bjp4bihar,1,1055,2021-12-14T05:20:51.468640Z,2021-12-14T05:21:41.367395Z,3208.658,bjp 4 bihar,bjp4bihar,bjp4 bihar,bjp4bi har,bjp 4 bihar,bjp4b i har,bjp 4 bi har,bjp4bih ar,bjp 4bihar,bjp4 bi har,bjp4b ihar
22,23,ayurveda,ayurveda,ayurved a,a yurveda,ayurve da,ayur veda,ayurv eda,ay urveda,ayu rveda,ayur ve da,ayurve d a,roman,230389,$1,None,None,"{""text"": [""ayurveda"", ""ayurveda""]}",1,1039,2021-12-14T05:14:09.735605Z,2021-12-14T05:14:12.442629Z,2759.736,ayurveda,ayurveda,ayur veda,ayurved a,a yur veda,ayurve da,ay urveda,a yurveda,a yurved a,ay ur veda,ayu rveda
23,24,viraataparvam,viraataparvam,viraataparva m,viraataparv am,v iraataparvam,vir aataparvam,vi raataparvam,viraatapar vam,viraat aparvam,vira ataparvam,viraata parvam,roman,230368,$10,Hashtag has named entities,"[{""start"": 0, ""end"": 7, ""text"": ""viraata"", ""labels"": [""Named Entity""]}, {""start"": 7, ""end"": 13, ""text"": ""parvam"", ""labels"": [""Named Entity""]}]","{""text"": [""viraataparvam"", ""viraataparvam"", ""viraataparvam""]}",1,1020,2021-12-14T05:09:52.009583Z,2021-12-14T05:10:03.415633Z,2510.692,viraata parvam,viraataparvam,viraata parva m,viraataparva m,vir aata parvam,vi raata parva m,viraata parvam,vi raata parvam,vi raataparvam,vi raata par vam,viraat aparvam
24,25,happybirthdaylouistomlinson,happybirthdaylouistomlinson,happybirthdaylouistomlins on,happybirthdaylouistomlin son,happybirthdaylouistomlinso n,ha ppybirthdaylouistomlinson,h appybirthdaylouistomlinson,happy birthdaylouistomlinson,happybirthdaylouis tomlinson,hap pybirthdaylouistomlinson,happybirthday louis tomlinson,roman,230348,None,Hashtag has named entities,"[{""start"": 18, ""end"": 27, ""text"": ""tomlinson"", ""labels"": [""Named Entity""]}, {""start"": 13, ""end"": 18, ""text"": ""louis"", ""labels"": [""Named Entity""]}]","{""text"": [""happy birthday louis tomlinson"", ""happybirthdaylouistomlinson""]}",1,1000,2021-12-14T05:03:04.370589Z,2021-12-14T05:04:02.415683Z,2149.7,happy birthday louis tomlinson,happy birthday louis tomlinson,happy birthday louis tom linson,happy birthday loui stomlinson,happy birthdaylouis tomlinson,happy birthday louis tomlin son,happy birthdaylouis tomlin son,happybirthday louis tomlin son,happy birthday louis tomlin s on,happy birthday louis to mlinson,happybirthday louis tom linson
25,26,chalorajghat,chalorajghat,chalorajgh at,chalo rajghat,chalorajgha t,chalo raj ghat,c halorajghat,chalorajg hat,chaloraj ghat,chal orajghat,ch alorajghat,roman,230344,$3,"{""choices"": [""Hashtag has named entities"", ""Hashtag has a mix of english and hindi tokens""]}","[{""start"": 5, ""end"": 12, ""text"": ""rajghat"", ""labels"": [""Named Entity""]}]","{""text"": [""chalorajghat"", ""chalorajghat""]}",1,996,2021-12-14T05:01:08.790894Z,2021-12-14T05:01:11.464220Z,1978.747,chalo rajghat,chalo rajghat,chalorajgh at,chal oraj ghat,chalo raj ghat,chalorajghat,chaloraj ghat,cha lo raj ghat,cha lo rajghat,chalorajg hat,cha lorajghat
26,27,upkishaanyogiji,upkishaanyogiji,upkishaanyogij i,upkishaanyogi ji,up kishaanyogiji,u pkishaanyogiji,upkishaanyog iji,upkishaan yogi ji,upkishaan yogiji,upkishaanyog i ji,upkishaanyogi j i,roman,230340,None,"{""choices"": [""Hashtag has named entities"", ""Hashtag has a mix of english and hindi tokens""]}","[{""start"": 0, ""end"": 2, ""text"": ""up"", ""labels"": [""Named Entity""]}, {""start"": 9, ""end"": 13, ""text"": ""yogi"", ""labels"": [""Named Entity""]}, {""start"": 13, ""end"": 15, ""text"": ""ji"", ""labels"": [""Named Entity""]}]","{""text"": [""up kishaan yogi ji"", ""upkishaanyogiji""]}",1,992,2021-12-14T04:59:43.895384Z,2021-12-14T04:59:48.876073Z,1896.156,up kishaan yogi ji,upkishaanyogiji,up kishaanyogi ji,up kisha anyogiji,up kishaan yogi ji,upkishaanyogi ji,upkisha any ogiji,up kishaanyogiji,upkisha anyogiji,up kishaan yogiji,upkishaany ogiji
27,28,salmankhansong,salmankhansong,salman khan song,salmankhan song,salman khan s o n g,salmankhan s o n g,s almankhansong,salmankhanson g,sa lmankhansong,salman khans ong,salmankhanso ng,roman,230339,$2,Hashtag has named entities,"[{""start"": 0, ""end"": 6, ""text"": ""salman"", ""labels"": [""Named Entity""]}, {""start"": 6, ""end"": 10, ""text"": ""khan"", ""labels"": [""Named Entity""]}]","{""text"": [""salmankhansong"", ""salmankhansong""]}",1,991,2021-12-14T04:59:09.816820Z,2021-12-14T04:59:12.851474Z,1860.126,salman khan song,salman khan song,salmankhan song,salmank hansong,salmankh ansong,salmankhanson g,salmankhansong,salman khansong,salman k hansong,s almankhan song,sal mankhansong
28,29,azimpremji,azim premji,azim prem ji,azimpremji,azimpremj i,azimprem ji,a zimpremji,az impremji,azi mpremji,azimpre m ji,azimprem j i,roman,230333,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 4, ""text"": ""azim"", ""labels"": [""Named Entity""]}, {""start"": 4, ""end"": 10, ""text"": ""premji"", ""labels"": [""Named Entity""]}]","{""text"": [""azimpremji"", ""azimpremji""]}",1,984,2021-12-14T04:52:24.819924Z,2021-12-14T04:53:12.112267Z,1499.361,azim premji,azim premji,az impremji,az im premji,a zim prem ji,azimpremji,a zim premji,azim prem ji,azimpre mji,azimp remji,a zimpre mji
29,30,itirafediyorum,itirafediyorum,itirafediyoru m,i tirafediyorum,it irafediyorum,itirafediyor um,itirafediyo rum,iti rafediyorum,itirafediy orum,itirafediyor u m,itir afediyorum,roman,230324,None,None,None,"{""text"": [""itiraf ediyorum"", ""itirafediyorum""]}",1,976,2021-12-14T04:48:39.047896Z,2021-12-14T04:49:12.170215Z,1259.412,itiraf ediyorum,itirafediyorum,itira fediyorum,iti ra fedi yorum,iti ra fe di yorum,iti ra fediyorum,iti rafediyorum,itir afediyorum,iti ra fe diyorum,iti raf ediyorum,it ira fediyorum
30,31,marr,marr,mar r,m arr,ma rr,m a r r,ma r r,m a rr,m ar r,,,roman,229330,$1,None,None,"{""text"": [""marr"", ""marr""]}",3,908,2021-12-13T16:38:14.942084Z,2021-12-13T16:38:39.528159Z,2254.489,marr,marr,mar r,ma rr,m arr,,,,,,
31,32,munpar,mun par,munpar,m unpar,m un par,mun pa r,mu npar,munpa r,mu n par,munp ar,mun p a r,roman,229295,$1,Hashtag has non english token ,None,"{""text"": [""munpar"", ""munpar""]}",3,874,2021-12-13T16:22:03.550079Z,2021-12-13T16:22:08.423287Z,1263.389,mun par,munpar,m un par,munpa r,munp ar,mu npar,mun par,m unpar,m u n par,mu n par,m u np ar
32,33,modihaitomanipulationhai,modihaitomanipulationhai,modihaitomanipulationha i,modihaitomanipulation hai,modihaitomanipulationh ai,m odihaitomanipulationhai,modi haitomanipulationhai,mo dihaitomanipulationhai,mod ihaitomanipulationhai,modihaitomanipulation ha i,modihaitomanipulatio nhai,roman,229261,None,"{""choices"": [""Hashtag has non english token "", ""Hashtag has named entities""]}","[{""start"": 0, ""end"": 4, ""text"": ""modi"", ""labels"": [""Named Entity""]}]","{""text"": [""modi hai to manipulation hai"", ""modihaitomanipulationhai""]}",3,841,2021-12-13T16:09:55.459627Z,2021-12-13T16:16:13.451134Z,908.416,modi hai to manipulation hai,modi hai to manipulation hai,mod ihaitomanipulation hai,modihaitomanipulation hai,modihaitomanipulationhai,modi hai to manipulationhai,modi haitomanipulation hai,mod ihaitomanipulationhai,modi haito manipulation hai,modi haitomanipulationhai,modihai to manipulationhai
33,34,nani26,nani26,nani 26,nani2 6,nan i 26,na ni 26,nani 2 6,na ni26,nan i26,n ani26,n ani 26,roman,229274,$2,Hashtag has non english token ,None,"{""text"": [""nani26"", ""nani26""]}",3,854,2021-12-13T16:14:30.882169Z,2021-12-13T16:16:05.715022Z,900.681,nani 26,nani26,nani 26,nani 2 6,nan i26,na n i 26,nani2 6,na ni 26,na ni26,nan i 26,n an i26
34,35,tukdetukdegang,tukdetukdegang,tukde tukde gang,tukdetukdegan g,tukdetukde gang,t ukdetukdegang,tukdetukdega ng,tu kdetukdegang,tukdetukdeg ang,tuk detukdegang,tukde tukdegang,roman,229275,$2,Hashtag has non english token ,None,"{""text"": [""tukdetukdegang"", ""tukdetukdegang""]}",3,855,2021-12-13T16:14:40.470550Z,2021-12-13T16:16:00.892867Z,895.818,tukde tukde gang,tuk de tuk de gang,tuk de tukde gang,tukdetukdegang,tuk de tuk de ga ng,tukde tukde gang,tukde tuk de gang,tukde tukdegang,tuk de tukdegang,tuk de tuk degang,tuk detuk de gang
35,36,mirzapur2,mirzapur 2,mirzapur2,m irzapur2,mi rzapur2,mir zapur2,mirza pur2,mirzapu r2,mirza pur 2,mirza p u r 2,mirzapu r 2,roman,230283,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 8, ""text"": ""mirzapur"", ""labels"": [""Named Entity""]}]","{""text"": [""mirzapur2"", ""mirzapur2""]}",1,828,2021-10-26T10:47:23.017738Z,2021-10-26T10:47:30.903968Z,3140.59,mirzapur 2,mirzapur 2,mirza pur2,mirza pur 2,mir zapur2,mirzap ur2,mirzapu r2,mirzapur2,mir zapur 2,mirzap ur 2,mi rzapur 2
36,37,sreekaram,sreekaram,sree karam,sreekar am,sreekara m,s reekaram,sreeka ram,sree kar am,sr eekaram,sreek aram,sreekar a m,roman,230242,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 9, ""text"": ""sreekaram"", ""labels"": [""Named Entity""]}]","{""text"": [""sreekaram"", ""sreekaram""]}",1,788,2021-10-26T10:25:45.364532Z,2021-10-26T10:26:20.877314Z,1870.563,sreekaram,sree karam,sreekara m,sreekar am,sreek a ram,sree ka ram,sreekaram,sreek aram,sree kara m,sreeka ram,s ree karam
37,38,farahkhan,farah khan,farahkhan,farahkh an,farahkha n,farahk han,far ah khan,f arahkhan,far ahkhan,fa rahkhan,fara h khan,roman,230185,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 5, ""text"": ""farah"", ""labels"": [""Named Entity""]}, {""start"": 5, ""end"": 9, ""text"": ""khan"", ""labels"": [""Named Entity""]}]","{""text"": [""farahkhan"", ""farahkhan""]}",1,733,2021-10-26T10:01:32.826828Z,2021-10-26T10:03:02.080337Z,471.714,farah khan,farah khan,far ahkhan,farahk han,f arahkhan,farah k han,farahkhan,far ah khan,fa rahkhan,f arah khan,farahkha n
38,39,narappa,narappa,na rappa,nar appa,narapp a,na rap pa,nara ppa,nara p pa,narap pa,nar app a,n arappa,roman,228479,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 7, ""text"": ""narappa"", ""labels"": [""Named Entity""]}]","{""text"": [""narappa"", ""narappa""]}",4,717,2021-10-26T06:52:59.049645Z,2021-10-26T06:54:00.404506Z,4252.015,narappa,narappa,nar appa,n arappa,n a rappa,n ar appa,na rap pa,na rappa,nara ppa,na r appa,narap pa
39,40,ripchitra,ripchitra,rip chitra,ripchitr a,r ipchitra,ripchit ra,r i p chitra,ri pchitra,ri p chitra,ripchi tra,ripc hitra,roman,228470,$2,Hashtag has named entities,"[{""start"": 3, ""end"": 9, ""text"": ""chitra"", ""labels"": [""Named Entity""]}]","{""text"": [""ripchitra"", ""ripchitra"", ""ripchitra""]}",4,710,2021-10-26T06:44:20.570050Z,2021-10-26T06:44:24.942420Z,3676.54,rip chitra,ripchitra,ripchi tra,rip chi tra,ri pchitra,ripch itra,rip chitra,rip chit ra,ripchit ra,ripc hitra,r ipchi tra
40,41,tulsipujandiwas,tulsi pujan diwas,tulsipujandiwas,tulsipujandi was,tulsipujandiw as,tulsipujandiwa s,t ulsipujandiwas,tu lsipujandiwas,tulsipujand i was,tulsipujan diwas,tulsi pujandiwas,roman,228394,$1,"{""choices"": [""Hashtag has non english token "", ""Hashtag has named entities"", ""Hashtag has a mix of english and hindi tokens""]}","[{""start"": 0, ""end"": 5, ""text"": ""tulsi"", ""labels"": [""Named Entity""]}]","{""text"": [""tulsipujandiwas"", ""tulsipujandiwas""]}",4,642,2021-10-14T20:17:44.231535Z,2021-10-14T20:18:01.990319Z,2792.107,tulsi pujan diwas,tulsipuj and iwas,tulsi pujan diwas,tulsipujand iwas,tulsi puja ndiwas,tulsi pu jandiwas,tulsi puj and iwas,tulsi puj and i was,tulsipuj and i was,tulsi pu jandi was,tulsip uj and iwas
